"GEO_ID","NAME","B27001_001E","B27001_001M","B27001_002E","B27001_002M","B27001_003E","B27001_003M","B27001_004E","B27001_004M","B27001_005E","B27001_005M","B27001_006E","B27001_006M","B27001_007E","B27001_007M","B27001_008E","B27001_008M","B27001_009E","B27001_009M","B27001_010E","B27001_010M","B27001_011E","B27001_011M","B27001_012E","B27001_012M","B27001_013E","B27001_013M","B27001_014E","B27001_014M","B27001_015E","B27001_015M","B27001_016E","B27001_016M","B27001_017E","B27001_017M","B27001_018E","B27001_018M","B27001_019E","B27001_019M","B27001_020E","B27001_020M","B27001_021E","B27001_021M","B27001_022E","B27001_022M","B27001_023E","B27001_023M","B27001_024E","B27001_024M","B27001_025E","B27001_025M","B27001_026E","B27001_026M","B27001_027E","B27001_027M","B27001_028E","B27001_028M","B27001_029E","B27001_029M","B27001_030E","B27001_030M","B27001_031E","B27001_031M","B27001_032E","B27001_032M","B27001_033E","B27001_033M","B27001_034E","B27001_034M","B27001_035E","B27001_035M","B27001_036E","B27001_036M","B27001_037E","B27001_037M","B27001_038E","B27001_038M","B27001_039E","B27001_039M","B27001_040E","B27001_040M","B27001_041E","B27001_041M","B27001_042E","B27001_042M","B27001_043E","B27001_043M","B27001_044E","B27001_044M","B27001_045E","B27001_045M","B27001_046E","B27001_046M","B27001_047E","B27001_047M","B27001_048E","B27001_048M","B27001_049E","B27001_049M","B27001_050E","B27001_050M","B27001_051E","B27001_051M","B27001_052E","B27001_052M","B27001_053E","B27001_053M","B27001_054E","B27001_054M","B27001_055E","B27001_055M","B27001_056E","B27001_056M","B27001_057E","B27001_057M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 6 years","Margin of Error!!Total!!Male!!Under 6 years","Estimate!!Total!!Male!!Under 6 years!!With health insurance coverage","Margin of Error!!Total!!Male!!Under 6 years!!With health insurance coverage","Estimate!!Total!!Male!!Under 6 years!!No health insurance coverage","Margin of Error!!Total!!Male!!Under 6 years!!No health insurance coverage","Estimate!!Total!!Male!!6 to 17 years","Margin of Error!!Total!!Male!!6 to 17 years","Estimate!!Total!!Male!!6 to 17 years!!With health insurance coverage","Margin of Error!!Total!!Male!!6 to 17 years!!With health insurance coverage","Estimate!!Total!!Male!!6 to 17 years!!No health insurance coverage","Margin of Error!!Total!!Male!!6 to 17 years!!No health insurance coverage","Estimate!!Total!!Male!!18 to 24 years","Margin of Error!!Total!!Male!!18 to 24 years","Estimate!!Total!!Male!!18 to 24 years!!With health insurance coverage","Margin of Error!!Total!!Male!!18 to 24 years!!With health insurance coverage","Estimate!!Total!!Male!!18 to 24 years!!No health insurance coverage","Margin of Error!!Total!!Male!!18 to 24 years!!No health insurance coverage","Estimate!!Total!!Male!!25 to 34 years","Margin of Error!!Total!!Male!!25 to 34 years","Estimate!!Total!!Male!!25 to 34 years!!With health insurance coverage","Margin of Error!!Total!!Male!!25 to 34 years!!With health insurance coverage","Estimate!!Total!!Male!!25 to 34 years!!No health insurance coverage","Margin of Error!!Total!!Male!!25 to 34 years!!No health insurance coverage","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!35 to 44 years!!With health insurance coverage","Margin of Error!!Total!!Male!!35 to 44 years!!With health insurance coverage","Estimate!!Total!!Male!!35 to 44 years!!No health insurance coverage","Margin of Error!!Total!!Male!!35 to 44 years!!No health insurance coverage","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!45 to 54 years!!With health insurance coverage","Margin of Error!!Total!!Male!!45 to 54 years!!With health insurance coverage","Estimate!!Total!!Male!!45 to 54 years!!No health insurance coverage","Margin of Error!!Total!!Male!!45 to 54 years!!No health insurance coverage","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!55 to 64 years!!With health insurance coverage","Margin of Error!!Total!!Male!!55 to 64 years!!With health insurance coverage","Estimate!!Total!!Male!!55 to 64 years!!No health insurance coverage","Margin of Error!!Total!!Male!!55 to 64 years!!No health insurance coverage","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!65 to 74 years!!With health insurance coverage","Margin of Error!!Total!!Male!!65 to 74 years!!With health insurance coverage","Estimate!!Total!!Male!!65 to 74 years!!No health insurance coverage","Margin of Error!!Total!!Male!!65 to 74 years!!No health insurance coverage","Estimate!!Total!!Male!!75 years and over","Margin of Error!!Total!!Male!!75 years and over","Estimate!!Total!!Male!!75 years and over!!With health insurance coverage","Margin of Error!!Total!!Male!!75 years and over!!With health insurance coverage","Estimate!!Total!!Male!!75 years and over!!No health insurance coverage","Margin of Error!!Total!!Male!!75 years and over!!No health insurance coverage","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 6 years","Margin of Error!!Total!!Female!!Under 6 years","Estimate!!Total!!Female!!Under 6 years!!With health insurance coverage","Margin of Error!!Total!!Female!!Under 6 years!!With health insurance coverage","Estimate!!Total!!Female!!Under 6 years!!No health insurance coverage","Margin of Error!!Total!!Female!!Under 6 years!!No health insurance coverage","Estimate!!Total!!Female!!6 to 17 years","Margin of Error!!Total!!Female!!6 to 17 years","Estimate!!Total!!Female!!6 to 17 years!!With health insurance coverage","Margin of Error!!Total!!Female!!6 to 17 years!!With health insurance coverage","Estimate!!Total!!Female!!6 to 17 years!!No health insurance coverage","Margin of Error!!Total!!Female!!6 to 17 years!!No health insurance coverage","Estimate!!Total!!Female!!18 to 24 years","Margin of Error!!Total!!Female!!18 to 24 years","Estimate!!Total!!Female!!18 to 24 years!!With health insurance coverage","Margin of Error!!Total!!Female!!18 to 24 years!!With health insurance coverage","Estimate!!Total!!Female!!18 to 24 years!!No health insurance coverage","Margin of Error!!Total!!Female!!18 to 24 years!!No health insurance coverage","Estimate!!Total!!Female!!25 to 34 years","Margin of Error!!Total!!Female!!25 to 34 years","Estimate!!Total!!Female!!25 to 34 years!!With health insurance coverage","Margin of Error!!Total!!Female!!25 to 34 years!!With health insurance coverage","Estimate!!Total!!Female!!25 to 34 years!!No health insurance coverage","Margin of Error!!Total!!Female!!25 to 34 years!!No health insurance coverage","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!35 to 44 years!!With health insurance coverage","Margin of Error!!Total!!Female!!35 to 44 years!!With health insurance coverage","Estimate!!Total!!Female!!35 to 44 years!!No health insurance coverage","Margin of Error!!Total!!Female!!35 to 44 years!!No health insurance coverage","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!45 to 54 years!!With health insurance coverage","Margin of Error!!Total!!Female!!45 to 54 years!!With health insurance coverage","Estimate!!Total!!Female!!45 to 54 years!!No health insurance coverage","Margin of Error!!Total!!Female!!45 to 54 years!!No health insurance coverage","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!55 to 64 years!!With health insurance coverage","Margin of Error!!Total!!Female!!55 to 64 years!!With health insurance coverage","Estimate!!Total!!Female!!55 to 64 years!!No health insurance coverage","Margin of Error!!Total!!Female!!55 to 64 years!!No health insurance coverage","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!65 to 74 years!!With health insurance coverage","Margin of Error!!Total!!Female!!65 to 74 years!!With health insurance coverage","Estimate!!Total!!Female!!65 to 74 years!!No health insurance coverage","Margin of Error!!Total!!Female!!65 to 74 years!!No health insurance coverage","Estimate!!Total!!Female!!75 years and over","Margin of Error!!Total!!Female!!75 years and over","Estimate!!Total!!Female!!75 years and over!!With health insurance coverage","Margin of Error!!Total!!Female!!75 years and over!!With health insurance coverage","Estimate!!Total!!Female!!75 years and over!!No health insurance coverage","Margin of Error!!Total!!Female!!75 years and over!!No health insurance coverage"
"0500000US12103","Pinellas County, Florida","950345","1237","455656","1300","26789","1486","24505","1575","2284","1230","54466","1363","50231","2061","4235","1448","32759","164","27371","1280","5388","1277","55542","462","41218","1902","14324","1891","50313","478","40710","1551","9603","1483","65076","406","53275","2184","11801","2194","71232","436","63223","1579","8009","1547","57172","375","56789","468","383","269","42307","384","42307","384","0","221","494689","1062","25346","1108","24732","1192","614","434","53444","870","48241","1881","5203","1650","32071","125","25965","1585","6106","1574","57395","364","48656","1650","8739","1629","53327","289","44582","1528","8745","1549","70046","320","60949","1596","9097","1614","79578","331","72053","1241","7525","1203","65444","431","65030","556","414","317","58038","708","57868","712","170","163"
"0500000US12105","Polk County, Florida","657655","1249","319376","1262","24734","1270","23716","1410","1018","595","51377","1254","47677","1943","3700","1328","27704","484","22804","1354","4900","1274","40512","970","26866","2183","13646","2140","36427","669","26482","1663","9945","1704","39678","663","33848","1410","5830","1266","38435","379","32093","2251","6342","2252","35288","575","34065","855","1223","820","25221","269","24568","604","653","550","338279","688","23067","1130","22404","1138","663","497","50041","1206","46719","1539","3322","911","27097","345","21260","1421","5837","1361","43101","818","35499","1776","7602","1725","39422","863","33111","1435","6311","1200","41157","257","34408","1329","6749","1369","43365","743","38001","1165","5364","1249","40927","850","39990","609","937","879","30102","511","30032","539","70","117"
"0500000US12107","Putnam County, Florida","71285","586","35872","1109","2252","724","2252","724","0","221","6790","1097","6288","1240","502","424","3014","654","2218","753","796","532","3293","464","2473","549","820","408","3324","715","2460","839","864","543","4497","550","3605","675","892","563","5350","381","4505","490","845","445","4375","374","4375","374","0","221","2977","376","2977","376","0","221","35413","1029","1741","441","1650","479","91","159","4808","864","4510","818","298","303","2558","765","2028","681","530","406","3907","756","3204","777","703","466","3536","509","2168","489","1368","647","4812","469","3892","620","920","470","5864","167","4736","490","1128","495","4471","372","4471","372","0","221","3716","371","3716","371","0","221"
"0500000US12109","St. Johns County, Florida","233466","695","113947","984","7181","973","7181","973","0","221","20191","1141","19335","1335","856","710","8649","912","7258","844","1391","773","11324","881","9566","1124","1758","884","14217","1128","12551","1133","1666","920","16029","905","14410","1380","1619","940","15921","596","14932","785","989","532","13153","408","13103","413","50","84","7282","273","7282","273","0","221","119519","826","6554","1190","6554","1190","0","221","17995","1256","17355","1483","640","586","7995","750","7705","804","290","312","12962","1264","10743","770","2219","1276","15201","1193","14152","1335","1049","731","17964","1031","16315","1138","1649","675","17491","326","15573","1348","1918","1280","14398","344","14398","344","0","221","8959","330","8959","330","0","221"
"0500000US12111","St. Lucie County, Florida","304292","962","147553","1210","9152","797","9012","838","140","241","22448","1154","19312","1850","3136","1506","12337","1518","9470","1819","2867","1327","14366","1690","9504","1721","4862","1981","17069","776","12426","1786","4643","1800","18482","125","14899","1316","3583","1304","20145","509","17184","1213","2961","1039","18198","652","17118","892","1080","770","15356","633","14865","680","491","667","156739","923","8334","574","7940","750","394","475","22025","1120","20113","1679","1912","1267","13065","650","9717","1448","3348","1543","15368","493","10822","1496","4546","1566","17264","629","15037","1004","2227","1156","20429","555","15528","1874","4901","1782","22422","568","18084","1139","4338","1180","20569","205","19616","711","953","719","17263","381","17038","481","225","268"
"0500000US12113","Santa Rosa County, Florida","159924","2085","77207","2133","5444","517","5169","469","275","275","13420","750","12926","826","494","425","5864","975","3840","1084","2024","877","8979","1201","7928","1402","1051","549","9711","1284","8586","1443","1125","640","11331","770","10677","666","654","544","10739","732","10105","822","634","400","7692","371","7692","371","0","221","4027","266","4027","266","0","221","82717","1295","6275","829","5987","891","288","275","12715","781","12477","794","238","245","5602","660","4326","894","1276","698","10352","1096","8723","1233","1629","745","9806","625","9088","686","718","362","13172","1014","11569","1276","1603","849","11396","497","11012","567","384","311","8044","452","8044","452","0","221","5355","295","5355","295","0","221"
"0500000US12115","Sarasota County, Florida","408781","816","195698","1371","8215","981","7509","1018","706","563","23503","1259","21773","1544","1730","782","11557","834","8721","1098","2836","1062","17296","1243","12574","1551","4722","1520","17228","992","13048","1405","4180","1195","23432","744","18658","1416","4774","1099","28857","530","25333","1116","3524","1181","34415","479","34335","493","80","96","31195","581","31112","641","83","136","213083","1303","8359","778","7616","868","743","427","19761","1120","19003","1286","758","369","12531","551","10011","1077","2520","987","15912","784","10066","1621","5846","1711","18295","721","15455","1345","2840","1193","25561","582","20465","1753","5096","1721","34942","438","31044","1304","3898","1212","40817","601","40454","660","363","298","36905","755","36905","755","0","221"
"0500000US12117","Seminole County, Florida","453074","920","218357","1053","13888","707","12841","801","1047","576","35344","693","33443","1090","1901","771","19445","350","16707","1093","2738","988","32201","867","24700","1911","7501","1683","29385","817","24822","1552","4563","1449","30856","367","26569","1157","4287","1127","27816","3","25383","846","2433","846","18640","513","17743","851","897","674","10782","445","10782","445","0","221","234717","756","14121","1114","13007","1057","1114","835","33213","960","29601","1793","3612","1838","18781","540","15789","1108","2992","983","33195","364","27570","1500","5625","1505","31198","119","27610","1276","3588","1276","34240","138","28976","1339","5264","1332","31555","246","29349","804","2206","753","21920","306","21819","325","101","118","16494","517","16427","522","67","116"
"0500000US12119","Sumter County, Florida","114795","1340","52893","1736","1227","442","1020","509","207","231","2823","590","2595","572","228","243","2399","818","2303","804","96","120","1629","747","1361","608","268","370","2322","428","1890","488","432","355","2300","412","1842","447","458","330","6525","330","5846","479","679","502","19926","401","19855","422","71","121","13742","462","13742","462","0","221","61902","1025","910","282","880","270","30","60","3694","795","3224","842","470","550","3281","988","2775","811","506","569","2151","810","1271","714","880","606","1874","511","1127","767","747","463","3376","267","3004","368","372","276","10812","536","9794","781","1018","673","23050","601","22985","601","65","109","12754","565","12754","565","0","221"
