"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Households!!Estimate!!Total","Households!!Margin of Error!!Total","Households!!Estimate!!Less than $10,000","Households!!Margin of Error!!Less than $10,000","Households!!Estimate!!$10,000 to $14,999","Households!!Margin of Error!!$10,000 to $14,999","Households!!Estimate!!$15,000 to $24,999","Households!!Margin of Error!!$15,000 to $24,999","Households!!Estimate!!$25,000 to $34,999","Households!!Margin of Error!!$25,000 to $34,999","Households!!Estimate!!$35,000 to $49,999","Households!!Margin of Error!!$35,000 to $49,999","Households!!Estimate!!$50,000 to $74,999","Households!!Margin of Error!!$50,000 to $74,999","Households!!Estimate!!$75,000 to $99,999","Households!!Margin of Error!!$75,000 to $99,999","Households!!Estimate!!$100,000 to $149,999","Households!!Margin of Error!!$100,000 to $149,999","Households!!Estimate!!$150,000 to $199,999","Households!!Margin of Error!!$150,000 to $199,999","Households!!Estimate!!$200,000 or more","Households!!Margin of Error!!$200,000 or more","Households!!Estimate!!Median income (dollars)","Households!!Margin of Error!!Median income (dollars)","Households!!Estimate!!Mean income (dollars)","Households!!Margin of Error!!Mean income (dollars)","Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Estimate!!Total","Families!!Margin of Error!!Total","Families!!Estimate!!Less than $10,000","Families!!Margin of Error!!Less than $10,000","Families!!Estimate!!$10,000 to $14,999","Families!!Margin of Error!!$10,000 to $14,999","Families!!Estimate!!$15,000 to $24,999","Families!!Margin of Error!!$15,000 to $24,999","Families!!Estimate!!$25,000 to $34,999","Families!!Margin of Error!!$25,000 to $34,999","Families!!Estimate!!$35,000 to $49,999","Families!!Margin of Error!!$35,000 to $49,999","Families!!Estimate!!$50,000 to $74,999","Families!!Margin of Error!!$50,000 to $74,999","Families!!Estimate!!$75,000 to $99,999","Families!!Margin of Error!!$75,000 to $99,999","Families!!Estimate!!$100,000 to $149,999","Families!!Margin of Error!!$100,000 to $149,999","Families!!Estimate!!$150,000 to $199,999","Families!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$200,000 or more","Families!!Margin of Error!!$200,000 or more","Families!!Estimate!!Median income (dollars)","Families!!Margin of Error!!Median income (dollars)","Families!!Estimate!!Mean income (dollars)","Families!!Margin of Error!!Mean income (dollars)","Families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Estimate!!Total","Married-couple families!!Margin of Error!!Total","Married-couple families!!Estimate!!Less than $10,000","Married-couple families!!Margin of Error!!Less than $10,000","Married-couple families!!Estimate!!$10,000 to $14,999","Married-couple families!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Estimate!!$15,000 to $24,999","Married-couple families!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Estimate!!$25,000 to $34,999","Married-couple families!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Estimate!!$35,000 to $49,999","Married-couple families!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Estimate!!$50,000 to $74,999","Married-couple families!!Margin of Error!!$50,000 to $74,999","Married-couple families!!Estimate!!$75,000 to $99,999","Married-couple families!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Estimate!!$100,000 to $149,999","Married-couple families!!Margin of Error!!$100,000 to $149,999","Married-couple families!!Estimate!!$150,000 to $199,999","Married-couple families!!Margin of Error!!$150,000 to $199,999","Married-couple families!!Estimate!!$200,000 or more","Married-couple families!!Margin of Error!!$200,000 or more","Married-couple families!!Estimate!!Median income (dollars)","Married-couple families!!Margin of Error!!Median income (dollars)","Married-couple families!!Estimate!!Mean income (dollars)","Married-couple families!!Margin of Error!!Mean income (dollars)","Married-couple families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Estimate!!Total","Nonfamily households!!Margin of Error!!Total","Nonfamily households!!Estimate!!Less than $10,000","Nonfamily households!!Margin of Error!!Less than $10,000","Nonfamily households!!Estimate!!$10,000 to $14,999","Nonfamily households!!Margin of Error!!$10,000 to $14,999","Nonfamily households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Margin of Error!!$15,000 to $24,999","Nonfamily households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Margin of Error!!$25,000 to $34,999","Nonfamily households!!Estimate!!$35,000 to $49,999","Nonfamily households!!Margin of Error!!$35,000 to $49,999","Nonfamily households!!Estimate!!$50,000 to $74,999","Nonfamily households!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Estimate!!$75,000 to $99,999","Nonfamily households!!Margin of Error!!$75,000 to $99,999","Nonfamily households!!Estimate!!$100,000 to $149,999","Nonfamily households!!Margin of Error!!$100,000 to $149,999","Nonfamily households!!Estimate!!$150,000 to $199,999","Nonfamily households!!Margin of Error!!$150,000 to $199,999","Nonfamily households!!Estimate!!$200,000 or more","Nonfamily households!!Margin of Error!!$200,000 or more","Nonfamily households!!Estimate!!Median income (dollars)","Nonfamily households!!Margin of Error!!Median income (dollars)","Nonfamily households!!Estimate!!Mean income (dollars)","Nonfamily households!!Margin of Error!!Mean income (dollars)","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"0500000US12111","St. Lucie County, Florida","108811","3814","8.8","1.9","5.7","1.3","13.5","2.2","9.4","1.7","15.8","2.3","20.2","2.5","13.5","2.4","7.7","1.7","3","1","2.4","0.8","45905","3413","59220","4188","38.1","(X)","(X)","(X)","(X)","(X)","73598","3710","5.7","2","3.3","1.2","10.9","2.4","9.1","1.9","17.1","3.1","20.7","3","17.4","3.3","8.5","2.4","4","1.4","3.3","1.2","53728","3744","68715","6162","(X)","(X)","37.2","(X)","(X)","(X)","55599","3538","2.7","1.5","2.2","1.1","9.7","2.6","6.4","1.8","16.3","3","22.5","3.2","21.3","4","10.1","2.9","4.6","1.8","4.1","1.6","62971","5650","N","N","(X)","(X)","(X)","(X)","(X)","(X)","35213","2996","16.7","4.8","10.8","3.1","18.7","4.3","11.8","2.8","12.9","3.2","17.1","4.8","5.1","2.4","5.6","2.9","0.9","0.7","0.4","0.4","29196","5116","37699","3478","(X)","(X)","(X)","(X)","38.8","(X)"
"0500000US12113","Santa Rosa County, Florida","60861","1910","5","1.7","3.3","1.4","10.2","2.3","7.4","1.9","12.8","2.3","22.3","2.8","15.7","2.4","13.9","2.6","5.4","1.6","3.9","1.2","59682","2857","75692","4702","31.2","(X)","(X)","(X)","(X)","(X)","44593","2466","3.5","1.6","2.6","1.4","7.4","2.5","7.2","2.3","12.5","2.5","22.3","3.3","18","2.8","16","3.1","6.1","2","4.6","1.6","65639","4919","83239","6115","(X)","(X)","31.4","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","78481","4904","N","N","(X)","(X)","(X)","(X)","(X)","(X)","16268","2196","9.9","3.9","5.8","3.4","19.1","5.3","8.9","3.6","14.4","5.6","19.2","6.1","8.8","4.7","9.9","5.2","2.6","1.9","1.5","1.6","41322","7318","51796","6062","(X)","(X)","(X)","(X)","29.9","(X)"
"0500000US12115","Sarasota County, Florida","177807","3612","4.3","0.8","4.1","0.8","10","1.3","11","1","14.5","1.4","19.9","1.5","12.5","1.3","13","1.3","5.2","0.9","5.6","1","56286","2523","79881","3389","45.7","(X)","(X)","(X)","(X)","(X)","110221","4187","2.3","0.7","1.7","0.6","5.8","1.1","9.4","1.4","14.4","1.9","20.6","2.2","14.3","1.7","16.4","1.9","7.5","1.2","7.8","1.4","70208","2295","96756","4274","(X)","(X)","46.7","(X)","(X)","(X)","88956","4022","1.2","0.6","1.3","0.7","4.7","1.3","7.2","1.2","12.9","1.7","20.8","2.4","16.3","2","17.8","2.2","8.4","1.4","9.4","1.7","77455","3674","N","N","(X)","(X)","(X)","(X)","(X)","(X)","67586","3617","8.7","1.7","8.1","1.7","17.3","2.5","14.1","2.1","15.3","2.2","18","2.6","8.9","1.6","6.3","1.4","1.6","0.8","1.7","0.7","36900","3103","50121","3557","(X)","(X)","(X)","(X)","42.3","(X)"
"0500000US12117","Seminole County, Florida","162739","2735","5.8","1.2","4","0.9","10","1.5","9.9","1.2","13.8","1.2","18.4","1.6","14","1.5","12","1.2","6.4","0.9","5.7","0.9","57074","3038","78043","2654","45.4","(X)","(X)","(X)","(X)","(X)","108043","3614","3","1","1.9","0.8","7","1.3","8.7","1.5","12.1","1.4","19.4","2","16.4","1.9","15.1","1.5","8.4","1.3","8.1","1.3","71534","2369","93668","4111","(X)","(X)","44.3","(X)","(X)","(X)","81016","3674","1.6","0.9","0.9","0.4","5.5","1.5","7.6","1.7","9.3","1.3","18.2","2.2","18.2","2.2","18","1.8","10.2","1.7","10.6","1.7","83543","4120","106949","5550","(X)","(X)","(X)","(X)","(X)","(X)","54696","3314","12.6","2.5","8.1","2.2","16.6","3.1","13.5","2.2","17","2.7","16.3","2.5","8.2","2.1","4.4","1.3","2.3","1.1","1","0.5","34113","3728","44110","3052","(X)","(X)","(X)","(X)","46.4","(X)"
"0500000US12119","Sumter County, Florida","51170","3126","7.3","2.6","3.8","1.6","5.8","1.8","11.3","2.4","20.6","4.1","18.5","3.5","12.6","2.9","12.7","4.3","4.5","2.1","3","1.4","51335","5576","69104","5695","33.9","(X)","(X)","(X)","(X)","(X)","33695","3081","2.4","1.5","1","0.7","2.3","1.3","8.7","2.9","21.1","4.9","22.1","4.9","15.7","3.8","17.3","6.2","5.5","2.8","3.8","2.1","64737","7650","81274","7146","(X)","(X)","36.4","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","66622","7542","N","N","(X)","(X)","(X)","(X)","(X)","(X)","17475","2450","16.7","5.8","9.2","4.4","12.5","4","16.4","4.7","19.5","7.1","12","4.5","6","3.4","3.7","2.8","2.5","2.7","1.6","1.6","31436","6375","45466","9104","(X)","(X)","(X)","(X)","29","(X)"
"0500000US12127","Volusia County, Florida","209657","3139","6.8","1.1","6.5","0.8","13.9","1.2","14","1.4","16.5","1.1","18.6","1.3","9.8","0.9","9","0.9","2.7","0.6","2.3","0.5","42175","1730","59045","3122","38.4","(X)","(X)","(X)","(X)","(X)","128752","3899","4.6","1.1","3.3","0.9","10","1.4","12","1.5","17.8","1.6","20.3","1.8","13","1.3","12.2","1.4","3.8","0.9","3","0.7","52283","2506","69530","4047","(X)","(X)","37.3","(X)","(X)","(X)","96380","4499","2.1","0.8","1.6","0.8","7.1","1.4","10.9","1.6","17.3","1.7","21.9","2.2","15.1","1.6","15.1","1.7","4.9","1.1","3.8","0.9","62437","2137","79051","4972","(X)","(X)","(X)","(X)","(X)","(X)","80905","3649","11.7","2","12.1","1.7","19.7","2.1","17.8","2.4","14.6","1.7","14.5","2","4.2","0.9","3.4","1.2","0.9","0.4","1.1","0.6","28159","1744","40525","4073","(X)","(X)","(X)","(X)","39.6","(X)"
"0500000US13013","Barrow County, Georgia","24100","1060","4.9","1.8","5","2","11.3","3","10.6","2.9","14.6","3.7","23.6","4.1","12.2","2.7","10.5","2.5","4.7","2.3","2.5","1.2","53156","3987","71547","9288","34.1","(X)","(X)","(X)","(X)","(X)","18041","1291","3.5","1.8","5","2.7","11.4","4.1","11.5","3.7","12","3.1","20.8","4.3","15","3.2","11.7","3.2","5.6","2.9","3.3","1.5","56865","6595","79427","12297","(X)","(X)","33.2","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","70032","7314","N","N","(X)","(X)","(X)","(X)","(X)","(X)","6059","1060","10.7","5.6","6.7","3.7","18.1","7.1","14.1","5.4","14.2","5.6","24.8","8.8","5.3","6","6.1","5.1","0","3.1","0","3.1","35166","4987","40654","6120","(X)","(X)","(X)","(X)","32","(X)"
"0500000US13015","Bartow County, Georgia","37016","1119","4.2","1.7","4.8","2.3","13.6","2.9","11.2","2.9","15.6","3.9","21.3","3.6","12.6","3.1","13.5","3","2.1","1.2","1.2","0.9","50572","3941","64420","6676","38.3","(X)","(X)","(X)","(X)","(X)","27144","1822","2.9","1.6","2.2","2.6","10.7","3.5","12.5","3.7","15.1","4.3","23.2","4.8","13.2","3.7","16.3","3.9","2.7","1.6","1.2","1","55730","6096","68101","7333","(X)","(X)","38.5","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","69681","8840","N","N","(X)","(X)","(X)","(X)","(X)","(X)","9872","1591","7.8","4.2","12","5.1","21.5","7.1","13","5","14.3","7.3","19.2","7.1","6.3","4.4","4.6","3.8","0","1.9","1.3","1.6","31311","5415","49293","15491","(X)","(X)","(X)","(X)","36.5","(X)"
"0500000US13021","Bibb County, Georgia","59795","1428","14.2","2.2","7.8","1.7","12.7","2.3","11.6","2.3","14","2","16.3","2.5","8.1","1.8","9.1","1.7","3.6","1.2","2.6","0.9","38605","3220","56526","3986","37.1","(X)","(X)","(X)","(X)","(X)","35842","1929","9.1","2.4","3.6","1.7","11.7","2.9","9.3","2.9","15.6","3.3","19.1","3.7","9","2.5","13.6","2.6","5.7","1.8","3.3","1.2","50452","2771","68143","4813","(X)","(X)","40.1","(X)","(X)","(X)","21852","1676","1","0.7","0.7","0.7","5.9","2.2","7.7","2.7","15.9","3.9","23.7","4.7","13.3","3.9","18","4.1","9.1","3","4.7","1.8","67765","6488","N","N","(X)","(X)","(X)","(X)","(X)","(X)","23953","1954","22.5","4.6","13.4","3.8","16","4.5","14.8","3.8","11.5","2.6","11.2","3.3","6.2","2.3","2.4","1.5","0.5","0.8","1.4","1","23793","2912","37657","6360","(X)","(X)","(X)","(X)","31.4","(X)"
