"GEO_ID","NAME","B19013A_001E","B19013A_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)"
"0500000US01001","Autauga County, Alabama","66540","3647"
"0500000US01003","Baldwin County, Alabama","61505","1549"
"0500000US01005","Barbour County, Alabama","46815","5112"
"0500000US01007","Bibb County, Alabama","52388","6271"
"0500000US01009","Blount County, Alabama","49289","2244"
"0500000US01011","Bullock County, Alabama","65000","13835"
"0500000US01013","Butler County, Alabama","50368","4767"
"0500000US01015","Calhoun County, Alabama","52582","1849"
"0500000US01017","Chambers County, Alabama","48571","4046"
"0500000US01019","Cherokee County, Alabama","42796","2932"
"0500000US01021","Chilton County, Alabama","49461","2627"
"0500000US01023","Choctaw County, Alabama","48285","8866"
"0500000US01025","Clarke County, Alabama","49410","3749"
"0500000US01027","Clay County, Alabama","42972","5819"
"0500000US01029","Cleburne County, Alabama","46080","2855"
"0500000US01031","Coffee County, Alabama","61346","2226"
"0500000US01033","Colbert County, Alabama","52591","2448"
"0500000US01035","Conecuh County, Alabama","40556","4733"
"0500000US01037","Coosa County, Alabama","44694","6048"
"0500000US01039","Covington County, Alabama","46263","2770"
"0500000US01041","Crenshaw County, Alabama","48525","4457"
"0500000US01043","Cullman County, Alabama","45719","2096"
"0500000US01045","Dale County, Alabama","52060","3062"
"0500000US01047","Dallas County, Alabama","54794","4984"
"0500000US01049","DeKalb County, Alabama","41666","1725"
"0500000US01051","Elmore County, Alabama","65872","2749"
"0500000US01053","Escambia County, Alabama","45111","4328"
"0500000US01055","Etowah County, Alabama","48108","2202"
"0500000US01057","Fayette County, Alabama","42813","6329"
"0500000US01059","Franklin County, Alabama","44626","2087"
"0500000US01061","Geneva County, Alabama","43092","3338"
"0500000US01063","Greene County, Alabama","55208","8550"
"0500000US01065","Hale County, Alabama","57364","6757"
"0500000US01067","Henry County, Alabama","57926","6572"
"0500000US01069","Houston County, Alabama","56352","1472"
"0500000US01071","Jackson County, Alabama","41964","1219"
"0500000US01073","Jefferson County, Alabama","70771","1139"
"0500000US01075","Lamar County, Alabama","41745","6213"
"0500000US01077","Lauderdale County, Alabama","50677","2160"
"0500000US01079","Lawrence County, Alabama","45728","2582"
"0500000US01081","Lee County, Alabama","59002","2004"
"0500000US01083","Limestone County, Alabama","61097","2651"
"0500000US01085","Lowndes County, Alabama","61552","11673"
"0500000US01087","Macon County, Alabama","43157","3116"
"0500000US01089","Madison County, Alabama","75472","1518"
"0500000US01091","Marengo County, Alabama","59456","4948"
"0500000US01093","Marion County, Alabama","37658","3276"
"0500000US01095","Marshall County, Alabama","46325","1595"
"0500000US01097","Mobile County, Alabama","58888","1345"
"0500000US01099","Monroe County, Alabama","48036","5359"
"0500000US01101","Montgomery County, Alabama","69855","1716"
"0500000US01103","Morgan County, Alabama","55632","2480"
"0500000US01105","Perry County, Alabama","26071","8341"
"0500000US01107","Pickens County, Alabama","60335","8026"
"0500000US01109","Pike County, Alabama","48103","4064"
"0500000US01111","Randolph County, Alabama","47590","2878"
"0500000US01113","Russell County, Alabama","47014","4128"
"0500000US01115","St. Clair County, Alabama","61169","2395"
"0500000US01117","Shelby County, Alabama","80483","1619"
"0500000US01119","Sumter County, Alabama","52386","19653"
"0500000US01121","Talladega County, Alabama","50100","2621"
"0500000US01123","Tallapoosa County, Alabama","53958","2700"
"0500000US01125","Tuscaloosa County, Alabama","64184","1716"
"0500000US01127","Walker County, Alabama","45504","2785"
"0500000US01129","Washington County, Alabama","47368","7235"
"0500000US01131","Wilcox County, Alabama","44900","5702"
"0500000US01133","Winston County, Alabama","36698","3842"
"0500000US02013","Aleutians East Borough, Alaska","83571","11017"
"0500000US02016","Aleutians West Census Area, Alaska","116250","27303"
"0500000US02020","Anchorage Municipality, Alaska","94339","2145"
"0500000US02050","Bethel Census Area, Alaska","120000","20085"
"0500000US02060","Bristol Bay Borough, Alaska","98472","8992"
"0500000US02068","Denali Borough, Alaska","80469","15121"
"0500000US02070","Dillingham Census Area, Alaska","101250","20782"
"0500000US02090","Fairbanks North Star Borough, Alaska","80979","4496"
"0500000US02100","Haines Borough, Alaska","59638","26428"
"0500000US02105","Hoonah-Angoon Census Area, Alaska","70833","8201"
"0500000US02110","Juneau City and Borough, Alaska","92017","6081"
"0500000US02122","Kenai Peninsula Borough, Alaska","68157","3146"
"0500000US02130","Ketchikan Gateway Borough, Alaska","81111","4365"
"0500000US02150","Kodiak Island Borough, Alaska","93398","8253"
"0500000US02158","Kusilvak Census Area, Alaska","-","**"
"0500000US02164","Lake and Peninsula Borough, Alaska","88125","11844"
"0500000US02170","Matanuska-Susitna Borough, Alaska","77093","2041"
"0500000US02180","Nome Census Area, Alaska","104750","17101"
"0500000US02185","North Slope Borough, Alaska","132500","26395"
"0500000US02188","Northwest Arctic Borough, Alaska","122237","14196"
"0500000US02195","Petersburg Borough, Alaska","75833","12968"
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","56607","5929"
"0500000US02220","Sitka City and Borough, Alaska","81292","8358"
"0500000US02230","Skagway Municipality, Alaska","75625","6347"
"0500000US02240","Southeast Fairbanks Census Area, Alaska","81444","8619"
"0500000US02261","Valdez-Cordova Census Area, Alaska","85446","6151"
"0500000US02275","Wrangell City and Borough, Alaska","62222","7991"
"0500000US02282","Yakutat City and Borough, Alaska","81250","6805"
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","64048","3882"
"0500000US04001","Apache County, Arizona","53275","4267"
"0500000US04003","Cochise County, Arizona","49304","1865"
"0500000US04005","Coconino County, Arizona","64683","2632"
"0500000US04007","Gila County, Arizona","44629","2799"
"0500000US04009","Graham County, Arizona","53759","2210"
"0500000US04011","Greenlee County, Arizona","63503","2727"
"0500000US04012","La Paz County, Arizona","34774","7055"
"0500000US04013","Maricopa County, Arizona","66728","484"
"0500000US04015","Mohave County, Arizona","45473","1271"
"0500000US04017","Navajo County, Arizona","49616","2720"
"0500000US04019","Pima County, Arizona","56176","751"
"0500000US04021","Pinal County, Arizona","59197","1023"
"0500000US04023","Santa Cruz County, Arizona","42802","2963"
"0500000US04025","Yavapai County, Arizona","52833","1386"
"0500000US04027","Yuma County, Arizona","45931","1526"
"0500000US05001","Arkansas County, Arkansas","53472","5055"
"0500000US05003","Ashley County, Arkansas","54077","5511"
"0500000US05005","Baxter County, Arkansas","41872","1732"
"0500000US05007","Benton County, Arkansas","65493","1351"
"0500000US05009","Boone County, Arkansas","45523","1833"
"0500000US05011","Bradley County, Arkansas","52948","5101"
"0500000US05013","Calhoun County, Arkansas","53038","7494"
"0500000US05015","Carroll County, Arkansas","46522","4195"
"0500000US05017","Chicot County, Arkansas","44296","5229"
"0500000US05019","Clark County, Arkansas","45236","3915"
"0500000US05021","Clay County, Arkansas","37887","3254"
"0500000US05023","Cleburne County, Arkansas","44618","2817"
"0500000US05025","Cleveland County, Arkansas","48397","4505"
"0500000US05027","Columbia County, Arkansas","47308","7671"
"0500000US05029","Conway County, Arkansas","44857","5168"
"0500000US05031","Craighead County, Arkansas","51477","1991"
"0500000US05033","Crawford County, Arkansas","48181","1966"
"0500000US05035","Crittenden County, Arkansas","55716","4935"
"0500000US05037","Cross County, Arkansas","52119","5140"
"0500000US05039","Dallas County, Arkansas","43285","7054"
"0500000US05041","Desha County, Arkansas","44681","6466"
"0500000US05043","Drew County, Arkansas","57055","5574"
"0500000US05045","Faulkner County, Arkansas","56927","1703"
"0500000US05047","Franklin County, Arkansas","38802","2337"
"0500000US05049","Fulton County, Arkansas","36037","3650"
"0500000US05051","Garland County, Arkansas","46374","1842"
"0500000US05053","Grant County, Arkansas","55468","3185"
"0500000US05055","Greene County, Arkansas","47418","3304"
"0500000US05057","Hempstead County, Arkansas","54345","5399"
"0500000US05059","Hot Spring County, Arkansas","45471","3167"
"0500000US05061","Howard County, Arkansas","41220","7704"
"0500000US05063","Independence County, Arkansas","45830","3047"
"0500000US05065","Izard County, Arkansas","43060","2875"
"0500000US05067","Jackson County, Arkansas","37884","2876"
"0500000US05069","Jefferson County, Arkansas","51952","3655"
"0500000US05071","Johnson County, Arkansas","39637","2672"
"0500000US05073","Lafayette County, Arkansas","45296","7314"
"0500000US05075","Lawrence County, Arkansas","40006","2411"
"0500000US05077","Lee County, Arkansas","51419","8264"
"0500000US05079","Lincoln County, Arkansas","52841","10068"
"0500000US05081","Little River County, Arkansas","54021","8331"
"0500000US05083","Logan County, Arkansas","41575","1767"
"0500000US05085","Lonoke County, Arkansas","61612","2365"
"0500000US05087","Madison County, Arkansas","42781","5628"
