"GEO_ID","NAME","B19013B_001E","B19013B_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)"
"0500000US01001","Autauga County, Alabama","28808","3978"
"0500000US01003","Baldwin County, Alabama","36616","4743"
"0500000US01005","Barbour County, Alabama","22357","2547"
"0500000US01007","Bibb County, Alabama","21964","19457"
"0500000US01009","Blount County, Alabama","77518","48926"
"0500000US01011","Bullock County, Alabama","28889","9286"
"0500000US01013","Butler County, Alabama","29559","2974"
"0500000US01015","Calhoun County, Alabama","32712","4010"
"0500000US01017","Chambers County, Alabama","34564","3128"
"0500000US01019","Cherokee County, Alabama","25425","14770"
"0500000US01021","Chilton County, Alabama","36901","17478"
"0500000US01023","Choctaw County, Alabama","25932","3550"
"0500000US01025","Clarke County, Alabama","25042","4378"
"0500000US01027","Clay County, Alabama","33056","9711"
"0500000US01029","Cleburne County, Alabama","18304","8035"
"0500000US01031","Coffee County, Alabama","34035","3653"
"0500000US01033","Colbert County, Alabama","30268","4408"
"0500000US01035","Conecuh County, Alabama","34989","6525"
"0500000US01037","Coosa County, Alabama","31909","4585"
"0500000US01039","Covington County, Alabama","22000","4283"
"0500000US01041","Crenshaw County, Alabama","25514","3297"
"0500000US01043","Cullman County, Alabama","39671","8303"
"0500000US01045","Dale County, Alabama","32394","2575"
"0500000US01047","Dallas County, Alabama","27052","2915"
"0500000US01049","DeKalb County, Alabama","26731","15638"
"0500000US01051","Elmore County, Alabama","41857","6038"
"0500000US01053","Escambia County, Alabama","24865","3554"
"0500000US01055","Etowah County, Alabama","27977","4445"
"0500000US01057","Fayette County, Alabama","30169","7720"
"0500000US01059","Franklin County, Alabama","38173","7235"
"0500000US01061","Geneva County, Alabama","25586","10093"
"0500000US01063","Greene County, Alabama","18356","3726"
"0500000US01065","Hale County, Alabama","24165","2641"
"0500000US01067","Henry County, Alabama","31290","5371"
"0500000US01069","Houston County, Alabama","29458","1481"
"0500000US01071","Jackson County, Alabama","30000","9205"
"0500000US01073","Jefferson County, Alabama","38288","952"
"0500000US01075","Lamar County, Alabama","22396","11637"
"0500000US01077","Lauderdale County, Alabama","30015","7299"
"0500000US01079","Lawrence County, Alabama","29216","4595"
"0500000US01081","Lee County, Alabama","33907","4006"
"0500000US01083","Limestone County, Alabama","49816","10064"
"0500000US01085","Lowndes County, Alabama","23519","1043"
"0500000US01087","Macon County, Alabama","30712","2404"
"0500000US01089","Madison County, Alabama","41128","1888"
"0500000US01091","Marengo County, Alabama","22015","3896"
"0500000US01093","Marion County, Alabama","16613","16178"
"0500000US01095","Marshall County, Alabama","41039","2131"
"0500000US01097","Mobile County, Alabama","31710","1202"
"0500000US01099","Monroe County, Alabama","18403","3561"
"0500000US01101","Montgomery County, Alabama","39141","1505"
"0500000US01103","Morgan County, Alabama","31064","2571"
"0500000US01105","Perry County, Alabama","20000","4142"
"0500000US01107","Pickens County, Alabama","24014","3581"
"0500000US01109","Pike County, Alabama","23958","2993"
"0500000US01111","Randolph County, Alabama","33510","3033"
"0500000US01113","Russell County, Alabama","36975","5267"
"0500000US01115","St. Clair County, Alabama","39685","9382"
"0500000US01117","Shelby County, Alabama","64796","7689"
"0500000US01119","Sumter County, Alabama","21038","2635"
"0500000US01121","Talladega County, Alabama","29686","3330"
"0500000US01123","Tallapoosa County, Alabama","24648","2830"
"0500000US01125","Tuscaloosa County, Alabama","35891","2583"
"0500000US01127","Walker County, Alabama","26250","8255"
"0500000US01129","Washington County, Alabama","29196","12565"
"0500000US01131","Wilcox County, Alabama","24763","3608"
"0500000US01133","Winston County, Alabama","-","**"
"0500000US02013","Aleutians East Borough, Alaska","-","**"
"0500000US02016","Aleutians West Census Area, Alaska","53750","16116"
"0500000US02020","Anchorage Municipality, Alaska","59567","5643"
"0500000US02050","Bethel Census Area, Alaska","120875","53549"
"0500000US02060","Bristol Bay Borough, Alaska","-","**"
"0500000US02068","Denali Borough, Alaska","-","**"
"0500000US02070","Dillingham Census Area, Alaska","73500","17361"
"0500000US02090","Fairbanks North Star Borough, Alaska","69630","24482"
"0500000US02100","Haines Borough, Alaska","-","**"
"0500000US02105","Hoonah-Angoon Census Area, Alaska","-","**"
"0500000US02110","Juneau City and Borough, Alaska","118214","82657"
"0500000US02122","Kenai Peninsula Borough, Alaska","-","**"
"0500000US02130","Ketchikan Gateway Borough, Alaska","50000","22455"
"0500000US02150","Kodiak Island Borough, Alaska","-","**"
"0500000US02158","Kusilvak Census Area, Alaska","-","**"
"0500000US02164","Lake and Peninsula Borough, Alaska","-","**"
"0500000US02170","Matanuska-Susitna Borough, Alaska","60052","18110"
"0500000US02180","Nome Census Area, Alaska","87917","71017"
"0500000US02185","North Slope Borough, Alaska","165450","63114"
"0500000US02188","Northwest Arctic Borough, Alaska","78594","2898"
"0500000US02195","Petersburg Borough, Alaska","22000","3706"
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","-","**"
"0500000US02220","Sitka City and Borough, Alaska","2,500-","***"
"0500000US02230","Skagway Municipality, Alaska","-","**"
"0500000US02240","Southeast Fairbanks Census Area, Alaska","-","**"
