"GEO_ID","NAME","B19013C_001E","B19013C_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)"
"0500000US01001","Autauga County, Alabama","107656","97603"
"0500000US01003","Baldwin County, Alabama","42179","12423"
"0500000US01005","Barbour County, Alabama","-","**"
"0500000US01007","Bibb County, Alabama","-","**"
"0500000US01009","Blount County, Alabama","-","**"
"0500000US01011","Bullock County, Alabama","-","**"
"0500000US01013","Butler County, Alabama","34028","4103"
"0500000US01015","Calhoun County, Alabama","51328","25964"
"0500000US01017","Chambers County, Alabama","-","**"
"0500000US01019","Cherokee County, Alabama","-","**"
"0500000US01021","Chilton County, Alabama","69700","27329"
"0500000US01023","Choctaw County, Alabama","-","**"
"0500000US01025","Clarke County, Alabama","-","**"
"0500000US01027","Clay County, Alabama","-","**"
"0500000US01029","Cleburne County, Alabama","-","**"
"0500000US01031","Coffee County, Alabama","35294","15535"
"0500000US01033","Colbert County, Alabama","82563","61305"
"0500000US01035","Conecuh County, Alabama","-","**"
"0500000US01037","Coosa County, Alabama","-","**"
"0500000US01039","Covington County, Alabama","-","**"
"0500000US01041","Crenshaw County, Alabama","-","**"
"0500000US01043","Cullman County, Alabama","-","**"
"0500000US01045","Dale County, Alabama","50804","24486"
"0500000US01047","Dallas County, Alabama","-","**"
"0500000US01049","DeKalb County, Alabama","51902","18236"
"0500000US01051","Elmore County, Alabama","63510","27381"
"0500000US01053","Escambia County, Alabama","39911","25135"
"0500000US01055","Etowah County, Alabama","26250","15074"
"0500000US01057","Fayette County, Alabama","-","**"
"0500000US01059","Franklin County, Alabama","67969","24754"
"0500000US01061","Geneva County, Alabama","-","**"
"0500000US01063","Greene County, Alabama","-","**"
"0500000US01065","Hale County, Alabama","-","**"
"0500000US01067","Henry County, Alabama","-","**"
"0500000US01069","Houston County, Alabama","51250","32127"
"0500000US01071","Jackson County, Alabama","-","**"
"0500000US01073","Jefferson County, Alabama","-","**"
"0500000US01075","Lamar County, Alabama","-","**"
"0500000US01077","Lauderdale County, Alabama","-","**"
"0500000US01079","Lawrence County, Alabama","71691","30600"
"0500000US01081","Lee County, Alabama","-","**"
"0500000US01083","Limestone County, Alabama","78482","47041"
"0500000US01085","Lowndes County, Alabama","-","**"
"0500000US01087","Macon County, Alabama","-","**"
"0500000US01089","Madison County, Alabama","76832","9560"
"0500000US01091","Marengo County, Alabama","-","**"
"0500000US01093","Marion County, Alabama","32500","21317"
"0500000US01095","Marshall County, Alabama","38509","7486"
"0500000US01097","Mobile County, Alabama","42730","13005"
"0500000US01099","Monroe County, Alabama","58149","24463"
