State,FIPS,"Age-Adjusted Death Rate([rate note]) - deaths per 100,000",Average Annual Count,Recent Trend
United States,0,38.5,149208,falling
"Union County, Florida",12125,147.9,27,stable
"Galax City, Virginia",51640,120.8,12,rising
"Carroll County, Kentucky",21041,108.1,14,stable
"Breathitt County, Kentucky",21025,101.3,18,stable
"East Carroll Parish, Louisiana",22035,99.5,8,stable
"Whitley County, Kentucky",21235,99.3,44,stable
"Owsley County, Kentucky",21189,98.7,7,stable
"Knox County, Kentucky",21121,97.6,40,stable
"Leslie County, Kentucky",21131,97,14,stable
"Menifee County, Kentucky",21165,95.4,9,stable
"Monroe County, Arkansas",5095,92.2,11,stable
"Powell County, Kentucky",21197,90.7,14,stable
"Glascock County, Georgia",13125,88.9,4,*
"Harlan County, Kentucky",21095,88.8,33,stable
"Perry County, Kentucky",21193,88.8,32,stable
"Carlisle County, Kentucky",21039,88.2,7,stable
"Gallatin County, Kentucky",21077,87.8,9,stable
"Wolfe County, Kentucky",21237,86.5,9,stable
"Dunklin County, Missouri",29069,86.4,36,stable
"Bath County, Kentucky",21011,86.2,14,stable
"Pulaski County, Illinois",17153,85.4,8,stable
"Calhoun County, Arkansas",5013,85.2,7,stable
"Donley County, Texas",48129,85.1,5,stable
"Nicholas County, Kentucky",21181,84.7,8,stable
"Lawrence County, Kentucky",21127,84.4,18,stable
"Scott County, Tennessee",47151,84.2,24,stable
"Montgomery County, Kentucky",21173,83.2,28,stable
"Martin County, Kentucky",21159,82.5,12,stable
"Trimble County, Kentucky",21223,82.2,9,stable
"Clay County, Arkansas",5021,82.1,20,stable
"Hardin County, Illinois",17069,82,6,stable
"Butler County, Missouri",29023,81.9,49,stable
"Benton County, Tennessee",47005,81.9,22,stable
"Perry County, Tennessee",47135,81.9,10,stable
"Floyd County, Kentucky",21071,81.7,41,falling
"Sussex County, Virginia",51183,81.6,12,stable
"Clay County, Kentucky",21051,81.5,20,stable
"Lincoln County, Kentucky",21137,81.2,27,stable
"Lewis County, Kentucky",21135,80.8,16,stable
"Carroll County, Tennessee",47017,80.6,33,stable
"Pickett County, Tennessee",47137,80.5,7,stable
"Letcher County, Kentucky",21133,79.6,25,stable
"Poinsett County, Arkansas",5111,79.4,26,falling
"Martinsville City, Virginia",51690,79.4,16,rising
"McCreary County, Kentucky",21147,79.2,18,falling
"Polk County, Texas",48373,79.1,50,stable
"Lauderdale County, Tennessee",47097,78.8,25,stable
"Campbell County, Tennessee",47013,78.7,47,stable
"Clinton County, Kentucky",21053,78.6,12,stable
"St. Francois County, Missouri",29187,78.5,65,stable
"Rhea County, Tennessee",47143,78.3,35,stable
"Johnson County, Kentucky",21115,78.2,24,stable
"Mercer County, Missouri",29129,78,5,*
"Estill County, Kentucky",21065,77.8,16,stable
"Madison County, Missouri",29123,77.4,14,stable
"Starke County, Indiana",18149,77.3,25,stable
"Grand Isle County, Vermont",50013,77.2,7,stable
"Clay County, West Virginia",54015,77,10,stable
"Knott County, Kentucky",21119,76.8,17,stable
"Trousdale County, Tennessee",47169,76.8,8,stable
"Ohio County, Kentucky",21183,76.7,25,stable
"Cleveland County, Arkansas",5025,76.6,9,stable
"Gallatin County, Illinois",17059,76.6,6,stable
"Lewis County, West Virginia",54041,76.5,20,stable
"Pemiscot County, Missouri",29155,76.5,17,stable
"Fentress County, Tennessee",47049,76.4,21,stable
"Jackson County, Kentucky",21109,76.3,13,stable
"Jackson County, Arkansas",5067,76.2,18,stable
"Nowata County, Oklahoma",40105,76.1,12,stable
"Claiborne County, Tennessee",47025,76.1,35,stable
"Russell County, Kentucky",21207,76,19,stable
"Harrison County, Kentucky",21097,76,19,stable
"McLean County, Kentucky",21149,75.8,10,stable
"North Slope Borough, Alaska",2185,75.7,4,*
"Breckinridge County, Kentucky",21027,75.6,22,stable
"Magoffin County, Kentucky",21153,75.5,12,stable
"Tishomingo County, Mississippi",28141,75.5,22,stable
"Pike County, Kentucky",21195,75.4,63,falling
"Calhoun County, Florida",12013,75.1,15,stable
"Mason County, Kentucky",21161,74.9,17,stable
"Rockcastle County, Kentucky",21203,74.8,17,stable
"Adams County, Ohio",39001,74.6,29,stable
"Brown County, Ohio",39015,74.5,45,stable
"Overton County, Tennessee",47133,74.3,25,stable
"Mingo County, West Virginia",54059,74.1,24,falling
"Laurel County, Kentucky",21125,74.1,56,stable
"Hart County, Kentucky",21099,74,18,stable
"Hancock County, Tennessee",47067,73.9,7,stable
"Boone County, West Virginia",54005,73.7,24,stable
"Montgomery County, Missouri",29139,73.6,13,stable
"Wilson County, Kansas",20205,73.6,10,stable
"Schuyler County, Illinois",17169,73.6,8,stable
"Schoolcraft County, Michigan",26153,73.6,11,stable
"Covington City, Virginia",51580,73.5,6,stable
"Union County, Kentucky",21225,73.5,13,stable
"Bell County, Kentucky",21013,73.3,28,falling
"Love County, Oklahoma",40085,73.2,10,stable
"Tunica County, Mississippi",28143,73.2,7,stable
"Grant County, Kentucky",21081,73.1,19,falling
"Wyoming County, West Virginia",54109,72.9,23,stable
"Humphreys County, Mississippi",28053,72.9,8,stable
"Fulton County, Kentucky",21075,72.9,7,stable
"Nevada County, Arkansas",5099,72.8,10,stable
"Claiborne County, Mississippi",28021,72.8,8,rising
"Decatur County, Tennessee",47039,72.6,14,stable
"Franklin County, Arkansas",5047,72.6,18,stable
"Beauregard Parish, Louisiana",22011,72.5,31,stable
"Union County, Tennessee",47173,72.5,18,stable
"Lawrence County, Arkansas",5075,72.4,18,stable
"Morgan County, Kentucky",21175,72.4,12,stable
"Yazoo County, Mississippi",28163,72.4,21,stable
"Houston County, Tennessee",47083,72.2,9,stable
"Yalobusha County, Mississippi",28161,71.9,13,stable
"Monroe County, Kentucky",21171,71.8,11,stable
"Bracken County, Kentucky",21023,71.7,8,stable
"Edmonson County, Kentucky",21061,71.1,13,stable
"Barren County, Kentucky",21009,71.1,42,stable
"Treutlen County, Georgia",13283,71.1,7,stable
"Grainger County, Tennessee",47057,71,24,stable
"Washington County, Missouri",29221,70.9,23,stable
"Crittenden County, Kentucky",21055,70.9,9,stable
"Monroe County, Tennessee",47123,70.8,48,stable
"Sunflower County, Mississippi",28133,70.7,20,stable
"Ripley County, Missouri",29181,70.7,15,stable
"Jennings County, Indiana",18079,70.6,25,stable
"Jackson County, Ohio",39079,70.6,29,stable
"Crawford County, Missouri",29055,70.5,24,stable
"Lee County, Kentucky",21129,70.5,6,falling
"Brantley County, Georgia",13025,70.3,17,stable
"Wayne County, Tennessee",47181,70.2,17,stable
"Columbia County, Florida",12023,70.2,67,falling
"Jackson County, Tennessee",47087,70,14,stable
"Warren County, Georgia",13301,70,5,stable
"Wise County, Virginia",51195,69.7,35,falling
"Ottawa County, Oklahoma",40115,69.7,30,stable
"New Madrid County, Missouri",29143,69.5,18,stable
"Scott County, Indiana",18143,69.3,22,falling
"White County, Illinois",17193,69.2,15,stable
"Cumberland County, Kentucky",21057,69.1,8,stable
"Chicot County, Arkansas",5017,68.8,11,stable
"Pendleton County, Kentucky",21191,68.8,13,stable
"Sharp County, Arkansas",5135,68.7,21,stable
"Woodruff County, Arkansas",5147,68.6,8,stable
"Webster County, Mississippi",28155,68.6,9,stable
"Cross County, Arkansas",5037,68.5,16,stable
"Chariton County, Missouri",29041,68.5,9,stable
"Lincoln County, West Virginia",54043,68.5,21,stable
"Kiowa County, Oklahoma",40075,68.4,10,stable
"Bourbon County, Kentucky",21017,68.4,19,stable
"West Carroll Parish, Louisiana",22123,68.3,11,stable
"Somerset County, Maryland",24039,68.2,22,falling
"Grayson County, Kentucky",21085,68.2,24,falling
"Pulaski County, Kentucky",21199,68,60,stable
"Ashley County, Arkansas",5003,67.9,20,stable
"Walker County, Alabama",1127,67.9,64,stable
"Trinity County, Texas",48455,67.9,18,stable
"Stoddard County, Missouri",29207,67.8,29,stable
"Doniphan County, Kansas",20043,67.7,8,stable
"Mississippi County, Arkansas",5093,67.7,34,falling
"Macon County, Tennessee",47111,67.6,20,stable
"Sullivan County, Indiana",18153,67.6,18,stable
"Holmes County, Mississippi",28051,67.6,14,stable
"Morgan County, Missouri",29141,67.5,22,stable
"Polk County, Georgia",13233,67.5,34,stable
"Fayette County, West Virginia",54019,67.4,45,stable
"Marshall County, Oklahoma",40095,67.2,18,stable
"Tallahatchie County, Mississippi",28135,67.2,11,rising
"Roane County, West Virginia",54087,67.2,15,stable
"Perry County, Ohio",39127,67.2,30,stable
"Washington County, Kentucky",21229,67.1,11,stable
"Lafayette County, Florida",12067,67.1,7,stable
"Mayes County, Oklahoma",40097,67.1,38,stable
"Martin County, Indiana",18101,67.1,10,stable
"Mason County, Illinois",17125,67,15,stable
"Pittsburg County, Oklahoma",40121,66.9,44,stable
"Audrain County, Missouri",29007,66.9,23,stable
"Bristol City, Virginia",51520,66.8,16,stable
