State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Average Annual Count,Recent Trend
US (SEER+NPCR)(1),0,58.3,221568,falling
"Union County, Florida(6)",12125,196.3,38,falling
"Owsley County, Kentucky(7)",21189,164.7,11,stable
"Breathitt County, Kentucky(7)",21025,149.1,26,stable
"Hardin County, Illinois(6)",17069,133.6,9,*
"Knox County, Kentucky(7)",21121,133.3,54,stable
"Powell County, Kentucky(7)",21197,132.5,20,stable
"Carroll County, Kentucky(7)",21041,131.7,18,stable
"Perry County, Kentucky(7)",21193,130.5,46,stable
"Floyd County, Kentucky(7)",21071,130.3,66,stable
"McCreary County, Kentucky(7)",21147,129.8,28,stable
"North Slope Borough, Alaska(6)",2185,126.2,6,stable
"Clay County, Kentucky(7)",21051,125.7,31,stable
"Whitley County, Kentucky(7)",21235,123.8,55,stable
"Harlan County, Kentucky(7)",21095,123.6,47,stable
"Galax City, Virginia(6)",51640,122.3,11,rising
"Lake County, Tennessee(6)",47095,121.4,11,stable
"Mingo County, West Virginia(6)",54059,120.6,40,stable
"Leslie County, Kentucky(7)",21131,120.5,17,stable
"Mercer County, Missouri(6)",29129,120.1,6,stable
"Bath County, Kentucky(7)",21011,119.7,19,stable
"Martin County, Kentucky(7)",21159,119.6,18,stable
"Poinsett County, Arkansas(6)",5111,118.2,39,stable
"Lewis County, Kentucky(7)",21135,116.5,22,stable
"Lawrence County, Arkansas(6)",5075,116.4,28,stable
"Mississippi County, Missouri(6)",29133,116.2,21,stable
"St. Francois County, Missouri(6)",29187,116.1,95,stable
"Bracken County, Kentucky(7)",21023,116,13,stable
"Pike County, Kentucky(7)",21195,115.6,95,stable
"Estill County, Kentucky(7)",21065,115.4,23,stable
"Monroe County, Kentucky(7)",21171,115.4,17,stable
"Madison County, Missouri(6)",29123,115.2,20,stable
"Claiborne County, Tennessee(6)",47025,115.1,53,stable
"Trousdale County, Tennessee(6)",47169,114.4,12,stable
"Hart County, Kentucky(7)",21099,114.3,28,stable
"Clinton County, Kentucky(7)",21053,114,17,stable
"Edmonson County, Kentucky(7)",21061,113.3,20,stable
"Wolfe County, Kentucky(7)",21237,113.3,12,falling
"Pulaski County, Illinois(6)",17153,112.1,10,stable
"Calhoun County, Arkansas(6)",5013,111.8,9,stable
"Boone County, West Virginia(6)",54005,111.8,37,stable
"Barren County, Kentucky(7)",21009,111.7,64,stable
"Rockcastle County, Kentucky(7)",21203,111.3,25,stable
"Montgomery County, Kentucky(7)",21173,111.2,37,stable
"Campbell County, Tennessee(6)",47013,110.5,67,stable
"Polk County, Tennessee(6)",47139,110.1,27,stable
"Nicholas County, Kentucky(7)",21181,109.9,10,stable
"Lincoln County, Kentucky(7)",21137,109.7,37,stable
"Wirt County, West Virginia(6)",54105,109.3,10,stable
"McLean County, Kentucky(7)",21149,109.2,14,stable
"Carroll County, Tennessee(6)",47017,109,44,stable
"Cleveland County, Arkansas(6)",5025,109,13,stable
"Brown County, Illinois(6)",17009,108.9,8,stable
"Johnson County, Kentucky(7)",21115,108.8,34,stable
"Harrison County, Kentucky(7)",21097,108.6,27,stable
"Letcher County, Kentucky(7)",21133,108.4,34,stable
"Franklin County, Illinois(6)",17055,108.3,62,stable
"Randolph County, Arkansas(6)",5121,108.1,27,stable
"Jackson County, Arkansas(6)",5067,108,26,stable
"Union County, Tennessee(6)",47173,107.9,27,stable
"Clay County, West Virginia(6)",54015,107.8,14,stable
"Gallatin County, Kentucky(7)",21077,107.7,11,stable
"Lawrence County, Kentucky(7)",21127,107.5,23,stable
"Logan County, West Virginia(6)",54045,107.3,54,stable
"Pendleton County, Kentucky(7)",21191,107.2,19,stable
"Metcalfe County, Kentucky(7)",21169,107.1,15,stable
"Clay County, Arkansas(6)",5021,107.1,26,rising
"Logan County, Illinois(6)",17107,106.7,42,rising
"Dunklin County, Missouri(6)",29069,106.4,44,stable
"Knott County, Kentucky(7)",21119,106.3,23,stable
"Arenac County, Michigan(6)",26011,106.1 #  ,28,stable
"Vinton County, Ohio(6)",39163,106.1,18,stable
"Lincoln County, West Virginia(6)",54043,106.1,32,stable
"Perry County, Tennessee(6)",47135,106,13,stable
"Overton County, Tennessee(6)",47133,105.9,36,stable
"Rolette County, North Dakota(6)",38079,105.7,14,stable
"Bourbon County, Kentucky(7)",21017,105.5,29,stable
"Butler County, Kentucky(7)",21031,105.3,18,stable
"Decatur County, Tennessee(6)",47039,104.9,19,stable
"Schoolcraft County, Michigan(6)",26153,104.6 #  ,15,stable
"Lee County, Kentucky(7)",21129,104.5,10,stable
"Benton County, Tennessee(6)",47005,104.5,29,stable
"Cumberland County, Kentucky(7)",21057,104.4,11,stable
"Caldwell Parish, Louisiana(7)",22021,104.3,14,stable
"Jackson County, Kentucky(7)",21109,104,19,stable
"Starke County, Indiana(6)",18149,104,33,stable
"Crawford County, Georgia(7)",13079,104,18,stable
"Fentress County, Tennessee(6)",47049,104,29,stable
"Breckinridge County, Kentucky(7)",21027,103.8,29,stable
"Ohio County, Kentucky(7)",21183,103.4,33,stable
"New Madrid County, Missouri(6)",29143,103.3,26,stable
"Hawkins County, Tennessee(6)",47073,103.2,87,rising
"Grand Isle County, Vermont(6)",50013,103.2,9,stable
"Laurel County, Kentucky(7)",21125,102.6,78,stable
"Woodruff County, Arkansas(6)",5147,102.2,10,stable
"Polk County, Georgia(7)",13233,102.1,52,stable
"Perry County, Arkansas(6)",5105,101.7,16,stable
"Butler County, Missouri(6)",29023,101.7,61,stable
"Carlisle County, Kentucky(7)",21039,101.6,8,stable
"Yalobusha County, Mississippi(6)",28161,101.6,19,stable
"Crawford County, Missouri(6)",29055,101.5,35,stable
"Greenup County, Kentucky(7)",21089,101.1,54,stable
"Fleming County, Kentucky(7)",21069,100.8,19,stable
"Rhea County, Tennessee(6)",47143,100.8,45,stable
"Monroe County, Tennessee(6)",47123,100.8,69,stable
"Todd County, Kentucky(7)",21219,100.5,15,stable
"Casey County, Kentucky(7)",21045,100.4,22,stable
"Nowata County, Oklahoma(6)",40105,100.3,16,stable
"Grayson County, Kentucky(7)",21085,100.3,36,stable
"Fayette County, West Virginia(6)",54019,100.3,66,stable
"Pleasants County, West Virginia(6)",54073,100.3,10,stable
"Russell County, Kentucky(7)",21207,100.2,26,stable
"Hickman County, Tennessee(6)",47081,100.1,33,stable
"Carter County, Missouri(6)",29035,100.1,9,stable
"Wyoming County, West Virginia(6)",54109,99.8,31,stable
"Jefferson County, Indiana(6)",18077,99.8,42,stable
"Menifee County, Kentucky(7)",21165,99.5,10,stable
"Christian County, Illinois(6)",17021,99.4,48,falling
"Benton County, Missouri(6)",29015,99.3,40,stable
"Mississippi County, Arkansas(6)",5093,99.2,49,stable
"Brown County, Ohio(6)",39015,99.1,59,stable
"Lafayette County, Florida(6)",12067,99.1,10,stable
"Polk County, Texas(6)",48373,99.1,65,stable
"Pike County, Ohio(6)",39131,99,37,stable
"Lewis County, West Virginia(6)",54041,99,25,stable
"McDowell County, West Virginia(6)",54047,99,30,stable
"Lewis County, Tennessee(6)",47101,98.7,17,stable
"Henry County, Missouri(6)",29083,98.5,33,falling
"Grainger County, Tennessee(6)",47057,98.4,34,stable
"Putnam County, Indiana(6)",18133,98.3,45,stable
"Roane County, West Virginia(6)",54087,98.2,21,stable
"Bell County, Kentucky(7)",21013,98.1,38,stable
"Anderson County, Kentucky(7)",21005,98.1,26,stable
"Bullitt County, Kentucky(7)",21029,98.1,90,stable
"Montgomery County, Missouri(6)",29139,98,17,rising
"Jackson County, Ohio(6)",39079,98,40,stable
"Irwin County, Georgia(7)",13155,97.9,12,stable
"Gallatin County, Illinois(6)",17059,97.8,8,stable
"Brantley County, Georgia(7)",13025,97.7,23,stable
"Wayne County, Kentucky(7)",21231,97.7,30,stable
"Oswego County, New York(7)",36075,97.5,144,stable
"Pamlico County, North Carolina(6)",37137,97.5,22,stable
"Hancock County, Tennessee(6)",47067,97.5,9,stable
"Grant County, Kentucky(7)",21081,97.5,26,stable
"Ripley County, Missouri(6)",29181,97.4,20,stable
"Washington County, Missouri(6)",29221,97.4,31,stable
"Meade County, Kentucky(7)",21163,97.4,31,stable
"Mason County, Illinois(6)",17125,97.2,21,stable
"East Carroll Parish, Louisiana(7)",22035,97,8,stable
"Muhlenberg County, Kentucky(7)",21177,96.8,42,stable
"Caldwell County, Kentucky(7)",21033,96.8,18,stable
"McNairy County, Tennessee(6)",47109,96.8,38,rising
"Monroe County, Arkansas(6)",5095,96.8,12,stable
"Daviess County, Kentucky(7)",21059,96.7,123,stable
"Houston County, Tennessee(6)",47083,96.6,12,stable
"Worth County, Georgia(7)",13321,96.5,28,stable
"Logan County, Arkansas(6)",5083,96.3,30,stable
"Crittenden County, Kentucky(7)",21055,96.1,13,stable
"Monroe County, Missouri(6)",29137,96.1,13,stable
"Hardeman County, Tennessee(6)",47069,96.1,32,stable
"Sussex County, Virginia(6)",51183,96,15,stable
"Vermillion County, Indiana(6)",18165,96,22,stable
"Harmon County, Oklahoma(6)",40057,95.9,4,stable
"Mercer County, Kentucky(7)",21167,95.9,29,stable
"De Witt County, Illinois(6)",17039,95.8,22,stable
"Tunica County, Mississippi(6)",28143,95.8,9,stable
"Scott County, Indiana(6)",18143,95.4,29,stable
"Greer County, Oklahoma(6)",40055,95.4,7,stable
"Marion County, Kentucky(7)",21155,95.3,23,stable
"Greensville County, Virginia(6)",51081,95.3,14,stable
"Scott County, Tennessee(6)",47151,95.2,27,stable
"Sharp County, Arkansas(6)",5135,95.1,29,stable
"Heard County, Georgia(7)",13149,95.1,15,stable
"Hardin County, Kentucky(7)",21093,95.1,111,stable
"Glascock County, Georgia(7)",13125,95,4,*
"Emporia City, Virginia(6)",51595,95,7,stable
"Logan County, Kentucky(7)",21141,94.9,36,falling
"Macoupin County, Illinois(6)",17117,94.9,65,stable
"Lauderdale County, Tennessee(6)",47097,94.8,30,stable
"Scotland County, North Carolina(6)",37165,94.5,44,stable
"Macon County, Illinois(6)",17115,94.5,143,stable
"Johnson County, Illinois(6)",17087,94.5,18,stable
"Cocke County, Tennessee(6)",47029,94.5,50,stable
"Morgan County, Missouri(6)",29141,94.2,31,stable
"Pulaski County, Missouri(6)",29169,94,35,stable
"Massac County, Illinois(6)",17127,93.9,21,stable
"Itawamba County, Mississippi(6)",28057,93.8,29,stable
"Tallahatchie County, Mississippi(6)",28135,93.7,15,rising
"Jessamine County, Kentucky(7)",21113,93.7,54,stable
"Richland County, Illinois(6)",17159,93.7,21,rising
"Adams County, Ohio(6)",39001,93.6,35,stable
"Meigs County, Tennessee(6)",47121,93.6,16,stable
"Lincoln County, Missouri(6)",29113,93.3,53,stable
"Onslow County, North Carolina(6)",37133,93,123,stable
"Wayne County, Missouri(6)",29223,93,21,stable
"Stoddard County, Missouri(6)",29207,93,41,stable
"Taylor County, Kentucky(7)",21217,93,31,stable
"Tishomingo County, Mississippi(6)",28141,92.9,27,stable
"Harrison County, Indiana(6)",18061,92.9,47,stable
"Green County, Kentucky(7)",21087,92.9,16,stable
"Hamilton County, New York(7)",36041,92.9,8,stable
"Turner County, Georgia(7)",13287,92.7,11,stable
"Jefferson County, New York(7)",36045,92.6,106,stable
"Morgan County, Tennessee(6)",47129,92.6,28,stable
"Scott County, Mississippi(6)",28123,92.5,31,stable
"Henderson County, Kentucky(7)",21101,92.4,56,stable
"Prentiss County, Mississippi(6)",28117,92.2,31,stable
"Lawrence County, Mississippi(6)",28077,92.2,15,stable
"Pulaski County, Kentucky(7)",21199,92.2,82,stable
"Muskogee County, Oklahoma(6)",40101,92.2,82,stable
"Alexander County, Illinois(6)",17003,92.1,10,falling
"Clark County, Kentucky(7)",21049,92,42,stable
"Carter County, Kentucky(7)",21043,92,34,stable
"Clinch County, Georgia(7)",13065,91.9,8,stable
"Clarke County, Iowa(7)",19039,91.8,11,rising
"Putnam County, Illinois(6)",17155,91.7,9,stable
"Adams County, Wisconsin(6)",55001,91.6,37,stable
"Crawford County, Indiana(6)",18025,91.5,14,stable
"Gordon County, Georgia(7)",13129,91.5,58,stable
"Marshall County, Tennessee(6)",47117,91.5,37,stable
"Independence County, Arkansas(6)",5063,91.4,45,stable
"Lonoke County, Arkansas(6)",5085,91.3,68,stable
"Covington County, Mississippi(6)",28031,91.3,22,stable
"Clinton County, New York(7)",36019,91.3,94,stable
"Clark County, Indiana(6)",18019,91.3,124,stable
"Livingston County, Kentucky(7)",21139,91.2,13,stable
"Franklin County, Arkansas(6)",5047,91.2,23,stable
"Marion County, Tennessee(6)",47115,91.1,38,stable
"Petersburg City, Virginia(6)",51730,91.1,38,stable
"Guernsey County, Ohio(6)",39059,90.9,51,stable
"Magoffin County, Kentucky(7)",21153,90.9,15,stable
"Clark County, Arkansas(6)",5019,90.9,24,stable
"Pike County, Arkansas(6)",5109,90.9,15,stable
"Morgan County, Kentucky(7)",21175,90.9,15,stable
"Trimble County, Kentucky(7)",21223,90.8,10,stable
"Catahoula Parish, Louisiana(7)",22025,90.8,12,stable
"Putnam County, Florida(6)",12107,90.8,107,falling
"Morrow County, Ohio(6)",39117,90.8,40,stable
"Van Buren County, Arkansas(6)",5141,90.8,28,stable
"Boyd County, Kentucky(7)",21019,90.7,62,stable
"Shelby County, Indiana(6)",18145,90.7,51,stable
"Schuyler County, Illinois(6)",17169,90.6,10,stable
"Nevada County, Arkansas(6)",5099,90.6,12,stable
"Claiborne County, Mississippi(6)",28021,90.6,10,rising
"Ray County, Missouri(6)",29177,90.5,29,stable
"Johnson County, Arkansas(6)",5071,90.5,29,stable
"Wayne County, West Virginia(6)",54099,90.5,56,stable
"Ross County, Ohio(6)",39141,90.4,90,stable
"Madison County, Kentucky(7)",21151,90.4,82,stable
"Perry County, Ohio(6)",39127,90.2,41,stable
"Cass County, Illinois(6)",17017,90.2,15,stable
"Dickson County, Tennessee(6)",47043,90.1,56,stable
"Washington County, Indiana(6)",18175,90.1,33,stable
"Rowan County, Kentucky(7)",21205,90.1,22,stable
"Trinity County, Texas(6)",48455,90,24,stable
"Columbia County, Florida(6)",12023,90,84,stable
"Fredericksburg City, Virginia(6)",51630,89.9,22,stable
"Campbell County, Kentucky(7)",21037,89.8,97,falling
"Lee County, Mississippi(6)",28081,89.8,86,stable
"Marion County, Arkansas(6)",5089,89.6,28,stable
"Montgomery County, Illinois(6)",17135,89.5,37,stable
"Williamson County, Illinois(6)",17199,89.5,83,falling
"Hughes County, Oklahoma(6)",40063,89.5,17,stable
"Clay County, Indiana(6)",18021,89.5,31,stable
"White County, Tennessee(6)",47185,89.5,35,stable
"Union County, Mississippi(6)",28145,89.4,30,rising
"Sullivan County, Indiana(6)",18153,89.3,25,stable
"Mason County, Kentucky(7)",21161,89.2,21,falling
"Union County, Kentucky(7)",21225,89.2,16,stable
"Blackford County, Indiana(6)",18009,89.2,17,stable
"Garrard County, Kentucky(7)",21079,89.2,21,stable
"Scott County, Missouri(6)",29201,89.2,46,stable
"Levy County, Florida(6)",12075,89.2,61,falling
"Ballard County, Kentucky(7)",21007,89.2,10,stable
"Covington City, Virginia(6)",51580,89.2,7,stable
"Lawrence County, Tennessee(6)",47099,89.1,51,stable
"Emanuel County, Georgia(7)",13107,89,25,stable
"Colquitt County, Georgia(7)",13071,89,46,stable
"Pierce County, Georgia(7)",13229,88.9,22,stable
"Murray County, Georgia(7)",13213,88.9,40,falling
"Washington County, Maine(6)",23029,88.8,48,falling
"Dixie County, Florida(6)",12029,88.7,24,stable
"Scioto County, Ohio(6)",39145,88.7,91,stable
"Chattahoochee County, Georgia(7)",13053,88.6,4,*
"La Salle Parish, Louisiana(7)",22059,88.6,16,stable
"Fulton County, New York(7)",36035,88.6,68,stable
"White County, Illinois(6)",17193,88.5,20,stable
"Lee County, Georgia(7)",13177,88.4,25,stable
"McDowell County, North Carolina(6)",37111,88.4,58,stable
"Franklin County, Georgia(7)",13119,88.4,28,rising
"Greene County, Illinois(6)",17061,88.2,17,stable
"Simpson County, Kentucky(7)",21213,88.2,20,stable
"Yazoo County, Mississippi(6)",28163,88.1,26,stable
"Jennings County, Indiana(6)",18079,88.1,30,stable
"Nemaha County, Nebraska(6)",31127,88.1,8,rising
"Grant County, Indiana(6)",18053,88.1,82,stable
"Clay County, South Dakota(6)",46027,88.1,11,stable
"Cecil County, Maryland(6)",24015,88.1,106,stable
"Morgan County, Illinois(6)",17137,88,43,stable
"Chickasaw County, Mississippi(6)",28017,88,20,rising
"Elliott County, Kentucky(7)",21063,88,9,stable
"Franklin County, Nebraska(6)",31061,87.9,5,stable
"Gilmer County, West Virginia(6)",54021,87.8,9,stable
"Ashley County, Arkansas(6)",5003,87.8,26,stable
"Clinton County, Missouri(6)",29049,87.7,25,stable
"Walker County, Alabama(6)",1127,87.6,83,stable
"Somerset County, Maine(6)",23025,87.5,65,stable
"St. Bernard Parish, Louisiana(7)",22087,87.4,38,stable
"Barrow County, Georgia(7)",13013,87.4,64,stable
"Henry County, Kentucky(7)",21103,87.4,18,stable
"Stewart County, Tennessee(6)",47161,87.1,18,stable
"Pemiscot County, Missouri(6)",29155,87,19,stable
"Union County, Illinois(6)",17181,87,23,stable
"Ringgold County, Iowa(7)",19159,87,7,*
"Taylor County, Georgia(7)",13269,87,11,stable
"Chattooga County, Georgia(7)",13055,86.9,29,stable
"Haralson County, Georgia(7)",13143,86.8,31,stable
"Wilkinson County, Georgia(7)",13319,86.8,12,stable
"Richardson County, Nebraska(6)",31147,86.8,12,stable
"Surry County, North Carolina(6)",37171,86.7,92,stable
"Humphreys County, Mississippi(6)",28053,86.7,9,stable
"Fayette County, Ohio(6)",39047,86.7,33,stable
"Wayne County, Tennessee(6)",47181,86.7,21,stable
"Stokes County, North Carolina(6)",37169,86.7,61,stable
"Shelby County, Kentucky(7)",21211,86.6,46,stable
"Miller County, Georgia(7)",13201,86.5,7,stable
"West Feliciana Parish, Louisiana(7)",22125,86.5,17,stable
"Iron County, Missouri(6)",29093,86.5,14,stable
"Lamar County, Alabama(6)",1075,86.5,19,stable
"Jefferson County, Arkansas(6)",5069,86.5,79,stable
"Preble County, Ohio(6)",39135,86.5,49,rising
"Dyer County, Tennessee(6)",47045,86.4,42,stable
"Leake County, Mississippi(6)",28079,86.4,24,rising
"Hardin County, Tennessee(6)",47071,86.4,36,stable
"Greene County, Arkansas(6)",5055,86.3,47,stable
"Harrison County, Mississippi(6)",28047,86.3,194,stable
"Oxford County, Maine(6)",23017,86.3,77,stable
"Ralls County, Missouri(6)",29173,86.2,13,stable
"Lawrence County, Ohio(6)",39087,86.2,74,stable
"Suwannee County, Florida(6)",12121,86.2,55,stable
"Marion County, West Virginia(6)",54049,86.2,67,stable
"Henderson County, Texas(6)",48213,86.1,109,stable
"Marion County, Missouri(6)",29127,86,33,stable
"West Carroll Parish, Louisiana(7)",22123,85.9,13,stable
"Hamilton County, Florida(6)",12047,85.8,16,stable
"Prince George County, Virginia(6)",51149,85.8,34,stable
"Washington County, Ohio(6)",39167,85.8,80,stable
"Marion County, Ohio(6)",39101,85.8,74,stable
"Clay County, Illinois(6)",17025,85.7,17,stable
"Audrain County, Missouri(6)",29007,85.7,29,stable
"Davidson County, North Carolina(6)",37057,85.7,191,stable
"Vermilion County, Illinois(6)",17183,85.6,93,stable
"Harrison County, West Virginia(6)",54033,85.6,84,stable
"DeKalb County, Tennessee(6)",47041,85.6,22,stable
"Greenbrier County, West Virginia(6)",54025,85.6,49,stable
"Macon County, Tennessee(6)",47111,85.6,25,stable
"Brooke County, West Virginia(6)",54009,85.6,31,stable
"Larue County, Kentucky(7)",21123,85.5,17,stable
"Mason County, West Virginia(6)",54053,85.5,35,stable
"Harper County, Oklahoma(6)",40059,85.5,4,stable
"Salem County, New Jersey(7)",34033,85.4,73,rising
"Vernon Parish, Louisiana(7)",22115,85.4,40,stable
"Franklin County, Kentucky(7)",21073,85.3,56,falling
"Richmond County, Virginia(6)",51159,85.3,12,stable
"Roscommon County, Michigan(6)",26143,85.3 #  ,42,stable
"Marion County, Mississippi(6)",28091,85.3,29,stable
"Clay County, Alabama(6)",1027,85.3,17,stable
"Grundy County, Tennessee(6)",47061,85.3,17,stable
"Edwards County, Illinois(6)",17047,85.2,9,stable
"Marshall County, Mississippi(6)",28093,85.2,40,rising
"Hancock County, Mississippi(6)",28045,85.1,56,stable
"Hopkins County, Kentucky(7)",21107,85.1,53,falling
"Owen County, Kentucky(7)",21187,85.1,12,stable
"Jasper County, Missouri(6)",29097,85,117,stable
"Jefferson County, Missouri(6)",29099,84.8,217,stable
"Muskingum County, Ohio(6)",39119,84.8,97,stable
"Franklin County, Missouri(6)",29071,84.7,112,stable
"Nelson County, Kentucky(7)",21179,84.7,44,stable
"Panola County, Mississippi(6)",28107,84.7,36,stable
"Okeechobee County, Florida(6)",12093,84.7,49,stable
"Pawnee County, Oklahoma(6)",40117,84.7,20,stable
"Ouachita County, Arkansas(6)",5103,84.6,31,stable
"Cheatham County, Tennessee(6)",47021,84.6,39,stable
"Mayes County, Oklahoma(6)",40097,84.6,47,falling
"Tippah County, Mississippi(6)",28139,84.5,24,stable
"Pickaway County, Ohio(6)",39129,84.5,59,stable
"Hopewell City, Virginia(6)",51670,84.5,23,stable
"Shannon County, South Dakota(6)",46113,84.5,7,*
"Greene County, Tennessee(6)",47059,84.5,89,stable
"Calhoun County, Florida(6)",12013,84.4,17,stable
"Coryell County, Texas(6)",48099,84.4,49,stable
"Cortland County, New York(7)",36023,84.4,49,stable
"Ottawa County, Oklahoma(6)",40115,84.4,36,stable
"Owen County, Indiana(6)",18119,84.3,26,stable
"Maury County, Tennessee(6)",47119,84.3,90,stable
"Dallas County, Missouri(6)",29059,84.3,21,stable
"Baxter County, Arkansas(6)",5005,84.2,70,stable
"Pontotoc County, Mississippi(6)",28115,84.2,30,stable
"Morgan County, Indiana(6)",18109,84.2,73,stable
"McIntosh County, Oklahoma(6)",40091,84.1,30,stable
"Washington County, Mississippi(6)",28151,84.1,48,stable
"Ogemaw County, Michigan(6)",26129,84.1 #  ,32,stable
"Page County, Iowa(7)",19145,84,21,stable
"Sequoyah County, Oklahoma(6)",40135,84,48,stable
"Jefferson County, Kentucky(7)",21111,84,765,falling
"Livingston County, Illinois(6)",17105,84,42,stable
"McCurtain County, Oklahoma(6)",40089,84,37,stable
"Simpson County, Mississippi(6)",28127,84,29,stable
"Saline County, Illinois(6)",17165,83.9,30,falling
"Crockett County, Tennessee(6)",47033,83.9,17,stable
"Fannin County, Texas(6)",48147,83.9,40,stable
"Washington County, Kentucky(7)",21229,83.9,13,stable
"Iberville Parish, Louisiana(7)",22047,83.8,33,stable
"Marshall County, Kentucky(7)",21157,83.8,42,stable
"McDonald County, Missouri(6)",29119,83.7,23,stable
"St. Louis City, Missouri(6)",29510,83.7,277,falling
"Henderson County, Tennessee(6)",47077,83.7,32,stable
"Gallia County, Ohio(6)",39053,83.7,35,stable
"Kent County, Rhode Island(6)",44003,83.6,189,stable
"Cayuga County, New York(7)",36011,83.5,89,stable
"Wapello County, Iowa(7)",19179,83.5,40,stable
"Clare County, Michigan(6)",26035,83.5 #  ,42,stable
"Buchanan County, Missouri(6)",29021,83.5,89,stable
"Love County, Oklahoma(6)",40085,83.4,11,stable
"Woodford County, Kentucky(7)",21239,83.4,28,stable
"Ohio County, Indiana(6)",18115,83.4,8,stable
"Rockingham County, North Carolina(6)",37157,83.3,114,falling
"Dearborn County, Indiana(6)",18029,83.3,54,stable
"Lincoln County, Montana(6)",30053,83.3,31,stable
"Tift County, Georgia(7)",13277,83.3,38,stable
"Harnett County, North Carolina(6)",37085,83.3,103,stable
"Madison County, Georgia(7)",13195,83.3,32,stable
"Webster County, Kentucky(7)",21233,83.3,14,stable
"Humphreys County, Tennessee(6)",47085,83.2,23,stable
"Monroe County, Georgia(7)",13207,83.2,30,stable
"Delta County, Texas(6)",48119,83.2,7,stable
"Crawford County, Arkansas(6)",5033,83.1,65,stable
"Johnson County, Tennessee(6)",47091,83.1,23,stable
"Jefferson County, Mississippi(6)",28063,83.1,7,stable
"Randolph County, Missouri(6)",29175,83.1,26,stable
"Randolph County, North Carolina(6)",37151,82.9,154,stable
"Clark County, Ohio(6)",39023,82.8,156,stable
"Spencer County, Kentucky(7)",21215,82.8,18,stable
"Dinwiddie County, Virginia(6)",51053,82.7,31,stable
"King and Queen County, Virginia(6)",51097,82.7,9,stable
"Craven County, North Carolina(6)",37049,82.6,113,stable
"Dade County, Georgia(7)",13083,82.6,18,stable
"Mercer County, West Virginia(6)",54055,82.5,76,stable
"Peoria County, Illinois(6)",17143,82.5,189,stable
"Westmoreland County, Virginia(6)",51193,82.5,26,stable
"Gaston County, North Carolina(6)",37071,82.4,218,stable
"Niagara County, New York(7)",36063,82.4,245,stable
"Kiowa County, Oklahoma(6)",40075,82.4,11,stable
"Waynesboro City, Virginia(6)",51820,82.4,24,stable
"Northampton County, Virginia(6)",51131,82.4,17,stable
"Carroll County, Georgia(7)",13045,82.3,99,stable
"Calloway County, Kentucky(7)",21035,82.3,39,stable
"Taylor County, Florida(6)",12123,82.3,26,falling
"Lampasas County, Texas(6)",48281,82.3,24,stable
"Swain County, North Carolina(6)",37173,82.3,16,stable
"Vigo County, Indiana(6)",18167,82.2,104,falling
"Rensselaer County, New York(7)",36083,82.2,165,stable
"Adair County, Kentucky(7)",21001,82.2,20,stable
"Cass County, Indiana(6)",18017,82.1,41,stable
